               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.012155,           0.0045737,           0.0017654,             0.99896,                   1,               0.995,             0.97325,           0.0019362,           0.0011182,          0.00015774,           0.0087254,           0.0087254,           0.0087254
                 105,            0.010682,             0.00441,           0.0006461,             0.99871,                   1,               0.995,             0.97664,           0.0019381,           0.0010468,           0.0001687,            0.008713,            0.008713,            0.008713
                 106,            0.013029,           0.0044866,          0.00078803,             0.99889,                   1,               0.995,             0.97457,            0.002107,           0.0010544,          0.00011798,           0.0087006,           0.0087006,           0.0087006
                 107,            0.010177,           0.0042536,          0.00078058,             0.99882,                   1,               0.995,             0.96258,           0.0019547,            0.001089,           0.0001917,           0.0086882,           0.0086882,           0.0086882
                 108,              0.0142,           0.0045896,          0.00090011,             0.99864,                   1,               0.995,             0.97147,           0.0021493,           0.0010485,          0.00014594,           0.0086759,           0.0086759,           0.0086759
                 109,            0.013275,           0.0043588,          0.00085807,             0.99812,                   1,               0.995,             0.96987,             0.00216,           0.0010625,          0.00017578,           0.0086635,           0.0086635,           0.0086635
                 110,            0.012757,           0.0044729,           0.0013507,             0.99826,                   1,               0.995,             0.97415,           0.0021407,           0.0010903,          0.00019238,           0.0086511,           0.0086511,           0.0086511
                 111,            0.014337,           0.0043633,           0.0019527,             0.99842,                   1,               0.995,             0.97357,           0.0017504,           0.0010779,          0.00012965,           0.0086388,           0.0086388,           0.0086388
                 112,            0.012483,           0.0044218,           0.0017497,             0.99862,                   1,               0.995,             0.95864,           0.0022613,           0.0011713,          0.00016297,           0.0086264,           0.0086264,           0.0086264
                 113,            0.012027,           0.0047673,             0.00102,             0.99501,             0.99942,               0.995,             0.96072,           0.0023566,           0.0012862,          0.00017442,            0.008614,            0.008614,            0.008614
                 114,            0.011771,           0.0045374,          0.00077249,              0.9988,                   1,               0.995,             0.97436,           0.0018568,           0.0010204,          0.00013493,           0.0086016,           0.0086016,           0.0086016
                 115,            0.012001,            0.004314,          0.00085319,             0.99826,                   1,               0.995,             0.97452,            0.001855,           0.0010893,          0.00014299,           0.0085893,           0.0085893,           0.0085893
                 116,             0.01189,           0.0043745,           0.0022639,             0.99831,                   1,               0.995,             0.97499,           0.0018774,           0.0011193,          0.00014182,           0.0085769,           0.0085769,           0.0085769
                 117,            0.012723,           0.0044946,           0.0010282,             0.99836,                   1,               0.995,             0.96715,           0.0021207,           0.0010741,          0.00017527,           0.0085645,           0.0085645,           0.0085645
                 118,            0.011909,            0.004472,           0.0011843,             0.99872,                   1,               0.995,              0.9679,           0.0018151,            0.001093,          0.00014256,           0.0085521,           0.0085521,           0.0085521
                 119,            0.012139,           0.0041483,          0.00086088,             0.99845,                   1,               0.995,             0.96966,           0.0017952,           0.0010224,          0.00019848,           0.0085398,           0.0085398,           0.0085398
                 120,            0.012393,           0.0043607,          0.00058172,             0.99833,                   1,               0.995,              0.9732,           0.0017516,           0.0011318,          0.00012037,           0.0085274,           0.0085274,           0.0085274
                 121,            0.013684,           0.0044638,           0.0013448,              0.9983,                   1,               0.995,             0.97581,           0.0018441,           0.0010118,          0.00011937,            0.008515,            0.008515,            0.008515
                 122,            0.011348,           0.0042113,           0.0015246,             0.99848,                   1,               0.995,             0.97805,           0.0017368,           0.0010336,          0.00016475,           0.0085026,           0.0085026,           0.0085026
                 123,            0.011457,           0.0044508,           0.0014833,             0.99861,                   1,               0.995,             0.97657,           0.0017525,            0.001047,          0.00011525,           0.0084903,           0.0084903,           0.0084903
                 124,             0.01127,            0.004372,           0.0010363,             0.99847,                   1,               0.995,             0.97501,           0.0020048,           0.0010712,          0.00014759,           0.0084779,           0.0084779,           0.0084779
                 125,            0.012027,            0.004334,          0.00077299,             0.99853,                   1,               0.995,             0.97531,           0.0017413,          0.00097136,          0.00011442,           0.0084655,           0.0084655,           0.0084655
                 126,            0.012319,           0.0042792,           0.0018374,             0.99851,                   1,               0.995,             0.97503,           0.0019594,          0.00099998,          0.00011187,           0.0084531,           0.0084531,           0.0084531
                 127,            0.012912,           0.0043133,           0.0010714,             0.99881,                   1,               0.995,              0.9776,           0.0017564,          0.00096521,          0.00015949,           0.0084408,           0.0084408,           0.0084408
                 128,            0.013005,           0.0042611,          0.00066537,              0.9983,                   1,               0.995,             0.97308,           0.0017253,          0.00099407,          0.00014942,           0.0084284,           0.0084284,           0.0084284
                 129,            0.012104,           0.0041201,          0.00060723,             0.99797,                   1,               0.995,             0.97697,           0.0017633,           0.0010675,          0.00014895,            0.008416,            0.008416,            0.008416
                 130,            0.012218,           0.0041347,          0.00080432,             0.99909,                   1,               0.995,             0.97543,           0.0018345,           0.0010094,          0.00011745,           0.0084036,           0.0084036,           0.0084036
                 131,            0.012992,           0.0043184,          0.00085221,             0.99807,                   1,               0.995,             0.97374,           0.0021013,           0.0010221,           0.0001331,           0.0083913,           0.0083913,           0.0083913
                 132,            0.012782,            0.004296,          0.00083879,             0.99846,                   1,               0.995,             0.96956,           0.0020716,           0.0010133,          0.00017966,           0.0083789,           0.0083789,           0.0083789
                 133,            0.011763,            0.004091,          0.00062333,              0.9986,                   1,               0.995,             0.97311,           0.0021663,            0.001068,          0.00014393,           0.0083665,           0.0083665,           0.0083665
                 134,            0.011739,           0.0042987,           0.0011068,             0.99887,                   1,               0.995,             0.97074,           0.0020763,           0.0011037,          0.00012462,           0.0083541,           0.0083541,           0.0083541
                 135,            0.011442,           0.0044382,          0.00069971,             0.99828,                   1,               0.995,             0.97592,           0.0016917,           0.0010194,          0.00014791,           0.0083418,           0.0083418,           0.0083418
                 136,            0.012156,           0.0041012,           0.0006847,             0.99848,                   1,               0.995,             0.97567,           0.0016568,           0.0010483,          0.00012224,           0.0083294,           0.0083294,           0.0083294
                 137,            0.013764,           0.0044729,           0.0012066,              0.9971,             0.99953,               0.995,             0.97575,           0.0017647,           0.0010421,          0.00013241,            0.008317,            0.008317,            0.008317
                 138,            0.010986,           0.0041154,           0.0010916,             0.99874,                   1,               0.995,             0.97259,           0.0018302,           0.0010419,          0.00012265,           0.0083046,           0.0083046,           0.0083046
                 139,            0.011647,           0.0042643,           0.0015766,             0.99867,                   1,               0.995,             0.97417,           0.0016587,           0.0009999,          0.00012408,           0.0082922,           0.0082922,           0.0082922
                 140,            0.010905,           0.0042035,          0.00086401,             0.99878,                   1,               0.995,             0.96817,           0.0019512,           0.0010512,          0.00010881,           0.0082799,           0.0082799,           0.0082799
                 141,            0.011232,            0.004106,           0.0014793,              0.9987,                   1,               0.995,             0.97462,           0.0017799,           0.0010315,          0.00012905,           0.0082675,           0.0082675,           0.0082675
